"to","year","searchpoints","votepoints"
"LTU",2018,20,91
"MLT",2004,8,50
"MLT",2005,0,192
"MLT",2006,15,1
"MLT",2009,0,31
"MLT",2012,10,41
"MLT",2013,0,120
"MLT",2014,0,32
"MLT",2016,184,16
"MDA",2005,85,148
"MDA",2006,21,22
"MDA",2007,186,109
"MDA",2009,10,69
"MDA",2010,61,27
"MDA",2011,44,97
"MDA",2012,24,81
"MDA",2013,17,71
"MDA",2017,84,264
"MDA",2018,13,115
"MNE",2014,10,37
"MNE",2015,8,44
"NLD",2004,4,11
"NLD",2013,234,114
"NLD",2014,149,238
"NLD",2016,252,39
"NLD",2017,26,15
"NLD",2018,58,32
"MKD",2004,62,47
"MKD",2005,16,52
"MKD",2006,61,56
"MKD",2007,60,73
"MKD",2012,46,71
"NOR",2004,0,3
"NOR",2005,138,125
"NOR",2006,3,36
"NOR",2008,37,182
"NOR",2009,429,387
"NOR",2010,14,35
"NOR",2012,146,7
"NOR",2013,133,191
"NOR",2014,51,88
"NOR",2015,0,102
"NOR",2017,1,29
"NOR",2018,403,84
"POL",2004,16,27
"POL",2008,81,14
"POL",2014,0,62
"POL",2015,0,10
"POL",2016,253,222
"POL",2017,199,41
"PRT",2008,3,69
"PRT",2009,4,57
"PRT",2010,22,43
"PRT",2017,430,376
"PRT",2018,4,18
"ROU",2004,0,18
"ROU",2005,48,158
"ROU",2006,36,172
"ROU",2007,16,84
"ROU",2008,7,45
"ROU",2009,39,40
"ROU",2010,92,162
"ROU",2011,27,77
"ROU",2012,160,71
"ROU",2013,40,65
"ROU",2014,59,72
"ROU",2015,123,35
"ROU",2017,83,224
"RUS",2004,34,67
"RUS",2005,4,57
"RUS",2006,214,248
"RUS",2007,162,207
"RUS",2008,377,272
"RUS",2009,94,91
"RUS",2010,13,90
"RUS",2011,228,77
"RUS",2012,205,259
"RUS",2013,137,174
"RUS",2014,192,89
"RUS",2015,401,303
"RUS",2016,428,361
"SMR",2014,15,14
"SRB",2004,110,263
"SRB",2005,26,137
"SRB",2007,226,268
"SRB",2008,49,160
"SRB",2010,245,72
"SRB",2011,13,85
"SRB",2012,114,214
"SRB",2015,0,53
"SRB",2016,0,80
"SRB",2018,29,75
"SVN",2007,33,66
"SVN",2011,47,96
"SVN",2014,3,9
"SVN",2015,0,39
"SVN",2018,21,23
"ESP",2004,0,87
"ESP",2005,40,28
"ESP",2006,50,18
"ESP",2007,0,43
"ESP",2008,45,55
"ESP",2009,0,23
"ESP",2010,27,68
"ESP",2011,5,50
"ESP",2012,40,97
"ESP",2013,5,8
"ESP",2014,54,74
"ESP",2015,203,15
"ESP",2016,0,10
"ESP",2017,4,5
"ESP",2018,1,18
"SWE",2004,41,170
"SWE",2005,32,30
"SWE",2006,68,170
"SWE",2007,81,51
"SWE",2008,123,47
"SWE",2009,112,33
"SWE",2011,358,185
"SWE",2012,353,372
"SWE",2013,40,62
"SWE",2014,239,218
"SWE",2015,349,365
"SWE",2016,14,139
"SWE",2017,181,126
"SWE",2018,197,21
"CHE",2005,196,128
"CHE",2006,10,30
"CHE",2011,27,19
"CHE",2014,47,64
"TUR",2004,42,195
"TUR",2005,9,92
"TUR",2006,43,91
"TUR",2007,120,163
"TUR",2008,80,138
"TUR",2009,268,177
"TUR",2010,37,170
"TUR",2012,130,112
"UKR",2004,134,280
"UKR",2005,15,30
"UKR",2006,144,145
"UKR",2007,184,235
"UKR",2008,290,230
"UKR",2009,205,76
"UKR",2010,84,108
"UKR",2011,66,159
"UKR",2012,79,65
"UKR",2013,175,214
"UKR",2014,187,113
"UKR",2016,273,323
"UKR",2017,15,24
"UKR",2018,215,119
"GBR",2004,0,29
"GBR",2005,131,18
"GBR",2006,32,25
"GBR",2007,54,19
"GBR",2008,2,14
"GBR",2009,50,173
"GBR",2010,8,10
"GBR",2011,267,100
"GBR",2012,163,12
"GBR",2013,342,23
"GBR",2014,23,40
"GBR",2015,0,5
"GBR",2016,0,8
"GBR",2017,37,12
"GBR",2018,5,25
"ALB",2019,31,47
"AUS",2019,8,131
"AZE",2019,26,100
"BLR",2019,235,13
"CHE",2019,126,212
"CYP",2019,179,32
"CZE",2019,36,7
"DEU",2019,26,0
"DNK",2019,0,51
"ESP",2019,20,53
"EST",2019,50,48
"FRA",2019,355,38
"GBR",2019,12,3
"GRC",2019,36,24
"ISL",2019,327,186
"ISR",2019,0,35
"ITA",2019,125,253
"MKD",2019,24,58
"MLT",2019,0,20
"NLD",2019,254,261
"NOR",2019,5,291
"RUS",2019,280,244
"SMR",2019,101,65
"SRB",2019,51,54
"SVN",2019,17,59
"SWE",2019,33,93
