"from","to","search","tele"
"Belgium","Armenia",16,58
"Belgium","Australia",13,8
"Belgium","Austria",12,18
"Belgium","Azerbaijan",12,23
"Belgium","Belarus",7,0
"Belgium","Bosnia and Herzegovina",2,6
"Belgium","Bulgaria",9,17
"Belgium","Croatia",10,0
"Belgium","Cyprus",7,11
"Belgium","Czech Republic",5,1
"Belgium","Denmark",15,27
"Belgium","Estonia",0,4
"Belgium","Finland",29,11
"Belgium","France",110,42
"Belgium","Georgia",0,11
"Belgium","Germany",26,20
"Belgium","Greece",54,75
"Belgium","Hungary",8,15
"Belgium","Iceland",2,8
"Belgium","Ireland",28,15
"Belgium","Israel",21,29
"Belgium","Italy",17,31
"Belgium","Latvia",0,12
"Belgium","Lithuania",19,4
"Belgium","Malta",3,8
"Belgium","Moldova",0,16
"Belgium","Netherlands",58,58
"Belgium","Norway",33,22
"Belgium","Poland",16,16
"Belgium","Portugal",8,24
"Belgium","Romania",25,38
"Belgium","Russia",53,34
"Belgium","Serbia",14,12
"Belgium","Serbia and Montenegro",0,3
"Belgium","Slovenia",9,2
"Belgium","Spain",11,23
"Belgium","Sweden",63,49
"Belgium","Turkey",33,76
"Belgium","Ukraine",35,21
"Belgium","United Kingdom",39,2
"Bosnia and Herzegovina","Albania",2,21
"Bosnia and Herzegovina","Armenia",33,6
"Bosnia and Herzegovina","Australia",4,3
"Bosnia and Herzegovina","Austria",0,12
"Bosnia and Herzegovina","Azerbaijan",20,33
"Bosnia and Herzegovina","Belarus",0,4
"Bosnia and Herzegovina","Belgium",6,0
"Bosnia and Herzegovina","Bulgaria",3,8
"Bosnia and Herzegovina","Croatia",26,66
"Bosnia and Herzegovina","Cyprus",5,0
"Bosnia and Herzegovina","Czech Republic",1,0
"Bosnia and Herzegovina","Finland",14,7
"Bosnia and Herzegovina","France",4,19
"Bosnia and Herzegovina","Georgia",2,5
"Bosnia and Herzegovina","Germany",21,16
"Bosnia and Herzegovina","Greece",33,34
"Bosnia and Herzegovina","Hungary",0,2
"Bosnia and Herzegovina","Iceland",5,1
"Bosnia and Herzegovina","Ireland",7,2
"Bosnia and Herzegovina","Israel",4,14
"Bosnia and Herzegovina","Italy",0,6
"Bosnia and Herzegovina","Lithuania",5,0
"Bosnia and Herzegovina","Malta",8,1
"Bosnia and Herzegovina","Moldova",0,4
"Bosnia and Herzegovina","Netherlands",6,0
"Bosnia and Herzegovina","North Macedonia",32,43
"Bosnia and Herzegovina","Norway",22,15
"Bosnia and Herzegovina","Poland",5,0
"Bosnia and Herzegovina","Portugal",0,1
"Bosnia and Herzegovina","Romania",5,6
"Bosnia and Herzegovina","Russia",41,21
"Bosnia and Herzegovina","Serbia",46,68
"Bosnia and Herzegovina","Serbia and Montenegro",20,22
"Bosnia and Herzegovina","Slovenia",10,19
"Bosnia and Herzegovina","Spain",0,5
"Bosnia and Herzegovina","Sweden",19,18
"Bosnia and Herzegovina","Switzerland",14,4
"Bosnia and Herzegovina","Turkey",19,64
"Bosnia and Herzegovina","Ukraine",34,26
"Bosnia and Herzegovina","United Kingdom",2,4
"Bulgaria","Albania",0,4
"Bulgaria","Armenia",31,54
"Bulgaria","Australia",1,5
"Bulgaria","Austria",13,13
"Bulgaria","Azerbaijan",30,46
"Bulgaria","Belarus",15,2
"Bulgaria","Belgium",7,4
"Bulgaria","Bosnia and Herzegovina",12,13
"Bulgaria","Croatia",0,3
"Bulgaria","Cyprus",17,36
"Bulgaria","Czech Republic",9,3
"Bulgaria","Denmark",7,9
"Bulgaria","Estonia",11,2
"Bulgaria","Finland",23,8
"Bulgaria","France",22,12
"Bulgaria","Georgia",0,7
"Bulgaria","Germany",33,15
"Bulgaria","Greece",38,86
"Bulgaria","Hungary",12,22
"Bulgaria","Iceland",0,5
"Bulgaria","Ireland",1,3
"Bulgaria","Israel",23,14
"Bulgaria","Italy",17,6
"Bulgaria","Lithuania",4,7
"Bulgaria","Malta",3,0
"Bulgaria","Moldova",6,31
"Bulgaria","Netherlands",12,0
"Bulgaria","North Macedonia",12,25
"Bulgaria","Norway",22,5
"Bulgaria","Poland",6,6
"Bulgaria","Portugal",10,7
"Bulgaria","Romania",14,26
"Bulgaria","Russia",45,48
"Bulgaria","Serbia",22,29
"Bulgaria","Serbia and Montenegro",0,4
"Bulgaria","Slovenia",6,0
"Bulgaria","Spain",0,5
"Bulgaria","Sweden",20,17
"Bulgaria","Turkey",18,46
"Bulgaria","Ukraine",38,49
"Bulgaria","United Kingdom",28,19
"Croatia","Albania",1,35
"Croatia","Armenia",28,0
"Croatia","Australia",7,5
"Croatia","Austria",1,9
"Croatia","Azerbaijan",13,27
"Croatia","Belarus",5,0
"Croatia","Belgium",9,5
"Croatia","Bosnia and Herzegovina",57,93
"Croatia","Bulgaria",8,16
"Croatia","Cyprus",19,16
"Croatia","Czech Republic",7,5
"Croatia","Denmark",15,14
"Croatia","Estonia",4,6
"Croatia","Finland",20,10
"Croatia","France",0,14
"Croatia","Georgia",0,9
"Croatia","Germany",26,15
"Croatia","Greece",39,29
"Croatia","Hungary",7,29
"Croatia","Iceland",8,2
"Croatia","Ireland",12,6
"Croatia","Israel",19,8
"Croatia","Italy",19,27
"Croatia","Latvia",7,12
"Croatia","Lithuania",2,8
"Croatia","Malta",6,6
"Croatia","Moldova",3,9
"Croatia","Netherlands",18,3
"Croatia","North Macedonia",28,37
"Croatia","Norway",37,12
"Croatia","Poland",12,4
"Croatia","Portugal",13,13
"Croatia","Romania",17,11
"Croatia","Russia",47,36
"Croatia","Serbia",48,74
"Croatia","Serbia and Montenegro",17,24
"Croatia","Slovenia",17,26
"Croatia","Spain",13,0
"Croatia","Sweden",24,24
"Croatia","Switzerland",3,3
"Croatia","Turkey",7,16
"Croatia","Ukraine",34,51
"Croatia","United Kingdom",29,5
"Cyprus","Albania",4,4
"Cyprus","Armenia",28,45
"Cyprus","Australia",9,9
"Cyprus","Azerbaijan",27,42
"Cyprus","Belarus",0,6
"Cyprus","Belgium",11,10
"Cyprus","Bosnia and Herzegovina",0,2
"Cyprus","Bulgaria",21,44
"Cyprus","Croatia",8,0
"Cyprus","Czech Republic",8,8
"Cyprus","Denmark",22,16
"Cyprus","Estonia",0,9
"Cyprus","Finland",18,5
"Cyprus","France",2,21
"Cyprus","Georgia",5,13
"Cyprus","Germany",18,7
"Cyprus","Greece",142,140
"Cyprus","Hungary",1,11
"Cyprus","Iceland",0,6
"Cyprus","Ireland",17,2
"Cyprus","Israel",16,20
"Cyprus","Italy",19,36
"Cyprus","Latvia",0,4
"Cyprus","Lithuania",7,13
"Cyprus","Malta",6,9
"Cyprus","Moldova",0,10
"Cyprus","Netherlands",13,0
"Cyprus","Norway",20,22
"Cyprus","Poland",11,4
"Cyprus","Portugal",8,7
"Cyprus","Romania",15,47
"Cyprus","Russia",64,57
"Cyprus","Serbia",4,16
"Cyprus","Serbia and Montenegro",0,20
"Cyprus","Slovenia",4,6
"Cyprus","Spain",14,17
"Cyprus","Sweden",39,42
"Cyprus","Switzerland",0,7
"Cyprus","Turkey",23,4
"Cyprus","Ukraine",44,54
"Cyprus","United Kingdom",23,17
"Czech Republic","Albania",1,0
"Czech Republic","Armenia",15,46
"Czech Republic","Australia",10,1
"Czech Republic","Austria",3,4
"Czech Republic","Azerbaijan",12,48
"Czech Republic","Belarus",4,5
"Czech Republic","Belgium",7,10
"Czech Republic","Bosnia and Herzegovina",0,5
"Czech Republic","Bulgaria",14,25
"Czech Republic","Croatia",1,0
"Czech Republic","Cyprus",7,8
"Czech Republic","Denmark",5,9
"Czech Republic","Estonia",0,5
"Czech Republic","Finland",12,0
"Czech Republic","France",16,0
"Czech Republic","Georgia",5,9
"Czech Republic","Germany",0,3
"Czech Republic","Greece",6,8
"Czech Republic","Hungary",11,4
"Czech Republic","Iceland",7,2
"Czech Republic","Ireland",4,4
"Czech Republic","Israel",16,14
"Czech Republic","Italy",17,10
"Czech Republic","Latvia",0,8
"Czech Republic","Lithuania",9,0
"Czech Republic","Malta",1,0
"Czech Republic","Moldova",7,11
"Czech Republic","Netherlands",9,0
"Czech Republic","North Macedonia",0,5
"Czech Republic","Norway",20,3
"Czech Republic","Poland",16,7
"Czech Republic","Portugal",15,15
"Czech Republic","Romania",2,6
"Czech Republic","Russia",42,39
"Czech Republic","Serbia",8,17
"Czech Republic","Spain",6,0
"Czech Republic","Sweden",22,12
"Czech Republic","Turkey",12,1
"Czech Republic","Ukraine",48,56
"Czech Republic","United Kingdom",0,6
"Denmark","Albania",4,9
"Denmark","Armenia",19,2
"Denmark","Australia",27,22
"Denmark","Austria",13,20
"Denmark","Azerbaijan",19,10
"Denmark","Belarus",12,0
"Denmark","Belgium",12,36
"Denmark","Bosnia and Herzegovina",23,29
"Denmark","Bulgaria",11,10
"Denmark","Croatia",7,0
"Denmark","Cyprus",7,8
"Denmark","Czech Republic",4,6
"Denmark","Estonia",0,13
"Denmark","Finland",33,27
"Denmark","France",8,16
"Denmark","Georgia",7,0
"Denmark","Germany",38,57
"Denmark","Greece",19,15
"Denmark","Hungary",4,14
"Denmark","Iceland",14,45
"Denmark","Ireland",24,25
"Denmark","Israel",19,5
"Denmark","Italy",14,8
"Denmark","Latvia",0,16
"Denmark","Lithuania",22,15
"Denmark","Malta",0,15
"Denmark","Moldova",8,15
"Denmark","Netherlands",33,33
"Denmark","North Macedonia",3,0
"Denmark","Norway",54,76
"Denmark","Poland",18,5
"Denmark","Portugal",12,9
"Denmark","Romania",17,28
"Denmark","Russia",27,33
"Denmark","Serbia",27,6
"Denmark","Serbia and Montenegro",0,7
"Denmark","Slovenia",0,7
"Denmark","Spain",7,1
"Denmark","Sweden",102,138
"Denmark","Switzerland",13,1
"Denmark","Turkey",23,46
"Denmark","Ukraine",67,22
"Denmark","United Kingdom",46,20
"Estonia","Albania",2,1
"Estonia","Armenia",19,5
"Estonia","Australia",12,9
"Estonia","Austria",13,16
"Estonia","Azerbaijan",24,15
"Estonia","Belarus",10,9
"Estonia","Belgium",25,24
"Estonia","Bosnia and Herzegovina",8,0
"Estonia","Bulgaria",11,8
"Estonia","Croatia",6,2
"Estonia","Cyprus",11,14
"Estonia","Czech Republic",6,5
"Estonia","Denmark",18,42
"Estonia","Finland",42,55
"Estonia","France",11,12
"Estonia","Georgia",7,22
"Estonia","Germany",35,27
"Estonia","Greece",25,6
"Estonia","Hungary",7,37
"Estonia","Iceland",6,24
"Estonia","Ireland",14,8
"Estonia","Israel",21,6
"Estonia","Italy",12,28
"Estonia","Latvia",15,43
"Estonia","Lithuania",28,32
"Estonia","Malta",9,15
"Estonia","Moldova",23,11
"Estonia","Netherlands",17,22
"Estonia","North Macedonia",14,0
"Estonia","Norway",40,47
"Estonia","Poland",21,1
"Estonia","Portugal",14,13
"Estonia","Romania",9,11
"Estonia","Russia",97,119
"Estonia","Serbia",10,0
"Estonia","Serbia and Montenegro",0,1
"Estonia","Slovenia",0,2
"Estonia","Spain",4,10
"Estonia","Sweden",74,83
"Estonia","Switzerland",12,12
"Estonia","Turkey",6,6
"Estonia","Ukraine",62,56
"Estonia","United Kingdom",25,11
"Finland","Albania",10,9
"Finland","Armenia",17,5
"Finland","Australia",21,12
"Finland","Austria",16,22
"Finland","Azerbaijan",7,7
"Finland","Belarus",3,0
"Finland","Belgium",21,26
"Finland","Bosnia and Herzegovina",8,22
"Finland","Bulgaria",6,16
"Finland","Croatia",10,2
"Finland","Cyprus",10,9
"Finland","Czech Republic",12,5
"Finland","Denmark",19,35
"Finland","Estonia",14,57
"Finland","France",16,27
"Finland","Georgia",6,7
"Finland","Germany",46,14
"Finland","Greece",41,18
